canonical_id,name,domain,owner,priority,implementation_type,security_level,dependencies,disposition,roadmap_phase
188,Design OS,Developer Platform,Design Platform,P0,SHARED_SERVICE,HIGH,Aesthetic OS;Accessibility;Frontend Platform,KEEP,5
189,Aesthetic OS,Developer Platform,Design Platform,P1,POLICY,MEDIUM,Design OS;Accessibility,REFRAME,5
190,Art OS,Marketing & Customer,Media Platform,P3,PRODUCT,MEDIUM,Design OS;Media OS;Localization Platform,REFRAME,17
191,Retail OS,Commerce & Retail,Commerce Platform,P0,PRODUCT,HIGH,POS OS;Inventory OS;CRM,REFRAME,6
192,POS OS,Commerce & Retail,Commerce Platform,P0,PRODUCT,CRITICAL,Inventory OS;Payment-Gateway OS;Identity OS,REFRAME,6
193,Consumer-Hive OS,Commerce & Retail,Product Governance,P3,RETIRED_REFRAMED,HIGH,CRM;Retail OS;Shopping OS,REFRAME,9
194,Shopping OS,Commerce & Retail,Product Governance,P0,PRODUCT,HIGH,E-commerce OS;Design OS;Recommendation systems,REFRAME,6
195,E-commerce OS,Commerce & Retail,Commerce Platform,P0,PRODUCT,CRITICAL,Inventory OS;Shopping OS;Payment-Gateway OS;Identity OS,KEEP,6
196,Payment-Gateway OS,Payments & Billing,Payments Platform,P0,CORE,CRITICAL,Banking OS;Medici-Ledger OS;Compliance OS,REFRAME,5
197,Ecosystem OS,Developer Platform,Platform Architecture,P2,SHARED_SERVICE,HIGH,Platform OS;Identity OS;Billing;Marketplace,REFRAME,17
198,Platform OS,Developer Platform,Platform Architecture,P1,CORE,CRITICAL,Identity OS;Protocol OS;Cloud-OS;Governance OS,REFRAME,12
199,Membership OS,Marketing & Customer,Customer Platform,P2,PRODUCT,HIGH,Identity OS;Billing;CRM;Contract OS,REFRAME,9
200,Loyalty OS,Marketing & Customer,Customer Platform,P2,PRODUCT,HIGH,Membership OS;CRM;Commerce,REFRAME,9
201,Data OS,Data & Knowledge,Data Platform,P0,CORE,CRITICAL,Integrations OS;Knowledge OS;Records OS,KEEP,4
202,Vector-DB OS,Data & Knowledge,AI Platform,P1,SHARED_SERVICE,HIGH,Data OS;Knowledge OS;RAG OS,KEEP,10
203,RAG OS,AI & Intelligence,AI Platform,P1,SHARED_SERVICE,HIGH,Vector-DB OS;Knowledge OS;Inference OS,REFRAME,10
204,Inference OS,AI & Intelligence,AI Platform,P1,SHARED_SERVICE,CRITICAL,RAG OS;Reasoning OS;AI Gateway,REFRAME,10
205,Model-Train OS,AI & Intelligence,AI Governance,R&D,R&D,CRITICAL,Data OS;Inference OS;Evidence OS,REFRAME,18
206,Android OS,Developer Platform,Mobile Platform,P1,PRODUCT,HIGH,Mobile-Engine OS;Identity OS;Interface OS,REFRAME,9
207,iOS OS,Developer Platform,Mobile Platform,P1,PRODUCT,HIGH,Mobile-Engine OS;Identity OS;Interface OS,REFRAME,9
208,Mobile-Engine OS,Developer Platform,Mobile Platform,P1,SHARED_SERVICE,HIGH,Android OS;iOS OS;Protocol OS,KEEP,9
209,Web-Sovereign OS,Developer Platform,Platform Architecture,P3,R&D,HIGH,Protocol OS;Security OS;Network OS,REFRAME,17
210,Interface OS,Developer Platform,Design Platform,P0,SHARED_SERVICE,HIGH,Design OS;Identity OS;Protocol OS,REFRAME,5
211,Dynamic OS,Developer Platform,Product Governance,P2,AUTOMATION,HIGH,Interface OS;Sentiment OS;Experimentation,REFRAME,9
212,Payments OS,Payments & Billing,Payments Platform,P0,CORE,CRITICAL,Payment-Gateway OS;Medici-Ledger OS;Compliance OS,REFRAME,5
213,Checkout OS,Commerce & Retail,Commerce Platform,P0,PRODUCT,CRITICAL,Payments OS;Shopping OS;Pricing OS,REFRAME,6
214,Billing OS,Payments & Billing,Billing Platform,P0,CORE,CRITICAL,Payments OS;Pricing OS;Medici-Ledger OS,REFRAME,5
215,Pricing OS,Commerce & Retail,Commerce Platform,P1,PRODUCT,HIGH,Billing OS;Pricing data;Compliance OS,REFRAME,6
216,University OS,Data & Knowledge,Learning Platform,P3,PRODUCT,HIGH,Learning OS;Talent-Forge OS;Identity OS,REFRAME,17
217,Pedagogy OS,Data & Knowledge,Learning Platform,P3,POLICY,HIGH,University OS;Learning OS;Knowledge OS,REFRAME,17
218,Learning OS,Data & Knowledge,Learning Platform,P2,PRODUCT,HIGH,Pedagogy OS;Knowledge OS;Identity OS,KEEP,17
219,Talent-Forge OS,Data & Knowledge,Talent Platform,P2,PRODUCT,HIGH,Learning OS;University OS;Projects,REFRAME,17
220,Elite-Track OS,Data & Knowledge,Talent Platform,P2,POLICY,CRITICAL,Talent-Forge OS;Evidence OS;Ethics OS,REFRAME,17
221,Ethics OS,Governance & Audit,Ethics Governance,P0,POLICY,CRITICAL,Pillars OS;Governance OS;Compliance OS,KEEP,3
222,Philosophy OS,Governance & Audit,Ethics Governance,P3,POLICY,HIGH,Ethics OS;Reasoning OS;Knowledge OS,REFRAME,17
223,Theology OS,Data & Knowledge,Cultural Governance,P3,RETIRED_REFRAMED,HIGH,Ethics OS;Knowledge OS;Media OS,REFRAME,17
224,Mythos OS,Marketing & Customer,Brand Governance,P3,RETIRED_REFRAMED,HIGH,Narrative OS;Media OS;Ethics OS,REFRAME,17
225,Occult OS,Marketing & Customer,Brand Governance,P3,RETIRED_REFRAMED,HIGH,Aesthetic OS;Art OS;Ethics OS,REFRAME,17
226,Globalisation OS,Governance & Audit,Corporate Strategy,P3,SHARED_SERVICE,HIGH,Jurisdiction OS;Regional-Trade OS;Compliance OS,REFRAME,17
227,Geopolitics OS,Data & Knowledge,Strategy,P3,DATA_PRODUCT,HIGH,Geospatial OS;Risk OS;Information-Vacuum OS,REFRAME,17
228,Macro-Arbitrage OS,Finance & Capital,Treasury Governance,P3,DATA_PRODUCT,CRITICAL,Risk OS;Fiat-Hedge OS;Portfolio OS,REFRAME,15
229,China OS,Data & Knowledge,International Strategy,P3,DATA_PRODUCT,HIGH,Geopolitics OS;Supply-Chain OS;Compliance OS,REFRAME,17
230,USA OS,Data & Knowledge,International Strategy,P3,DATA_PRODUCT,HIGH,Geopolitics OS;Wall Street OS;Compliance OS,REFRAME,17
231,South Africa OS,Legal & Compliance,Regional Strategy,P1,DATA_PRODUCT,CRITICAL,Compliance OS;Property OS;Regional-Trade OS,REFRAME,8
232,Europe OS,Legal & Compliance,International Strategy,P3,DATA_PRODUCT,HIGH,Geopolitics OS;Jurisdiction OS;Compliance OS,REFRAME,17
233,UAE OS,Legal & Compliance,International Strategy,P3,DATA_PRODUCT,HIGH,Geopolitics OS;Jurisdiction OS;Compliance OS,REFRAME,17
234,Saudi Arabia OS,Data & Knowledge,International Strategy,P3,DATA_PRODUCT,HIGH,Geopolitics OS;Alliance OS;Compliance OS,REFRAME,17
235,Sovereign-Wealth OS,Finance & Capital,Treasury Governance,R&D,R&D,CRITICAL,Portfolio OS;Risk OS;Compliance OS,REFRAME,18
236,Wall Street OS,Finance & Capital,Capital Markets,P3,DATA_PRODUCT,HIGH,Market data integrations;Risk OS;Portfolio OS,REFRAME,15
237,JSE OS,Finance & Capital,Capital Markets,P2,DATA_PRODUCT,HIGH,Market data integrations;Risk OS;Portfolio OS,REFRAME,15
238,S&P 500 OS,Finance & Capital,Capital Markets,P2,DATA_PRODUCT,HIGH,Market data integrations;Risk OS;Portfolio OS,REFRAME,15
239,Hedge Fund OS,Finance & Capital,Capital Markets,R&D,R&D,CRITICAL,Trading OS;Portfolio OS;Risk OS;Compliance OS,REFRAME,18
240,Blackrock OS,Finance & Capital,Capital Markets,P3,DATA_PRODUCT,HIGH,Wall Street OS;Knowledge OS,REFRAME,15
241,Trading OS,Finance & Capital,Capital Markets,R&D,R&D,CRITICAL,Market data integrations;Risk OS;Compliance OS;Audit-Vigil OS,REFRAME,18
242,Portfolio OS,Finance & Capital,Treasury Governance,P2,PRODUCT,CRITICAL,Medici-Ledger OS;Risk OS;Records OS,KEEP,12
243,Yield OS,Finance & Capital,Treasury Governance,P2,DATA_PRODUCT,HIGH,Portfolio OS;Risk OS;Capital-Allocation OS,REFRAME,12
244,Risk OS,Governance & Audit,Risk Governance,P1,CORE,CRITICAL,Monte-Carlo OS;Monitoring OS;Decision-Matrix OS,KEEP,8
245,Monte-Carlo OS,AI & Intelligence,Risk Governance,P2,DATA_PRODUCT,HIGH,Risk OS;Statistics OS;Mathematics OS,KEEP,10
246,Social Media OS,Marketing & Customer,Media Platform,P2,PRODUCT,HIGH,Media OS;Engagement OS;Sentiment OS,REFRAME,9
247,Community OS,Marketing & Customer,Community Platform,P2,PRODUCT,HIGH,Membership OS;CRM;Media OS,REFRAME,9
248,Engagement OS,Marketing & Customer,Product Governance,P2,DATA_PRODUCT,HIGH,Community OS;Analytics;Experimentation,REFRAME,9
249,Influencer OS,Marketing & Customer,Partner Marketing,P2,PRODUCT,HIGH,CRM;Contract OS;Media OS,REFRAME,9
250,Network OS,Data & Knowledge,Strategy,P2,DATA_PRODUCT,CRITICAL,Alliance OS;Geospatial OS;Knowledge OS,REFRAME,15
251,Tendering System OS,Legal & Compliance,Public-Sector Governance,P2,PRODUCT,CRITICAL,Bidding OS;Contracts OS;Compliance OS,REFRAME,14
252,Bidding OS,Legal & Compliance,Public-Sector Governance,P2,DATA_PRODUCT,CRITICAL,Tendering System OS;Pricing OS;Risk OS,REFRAME,14
253,Compliance-Audit OS,Governance & Audit,Compliance Governance,P1,SHARED_SERVICE,CRITICAL,Compliance OS;Audit-Vigil OS;Evidence OS,KEEP,8
254,Public-Sector OS,Legal & Compliance,Public-Sector Governance,P3,RETIRED_REFRAMED,CRITICAL,Tendering System OS;Contracts OS;Compliance OS,REFRAME,14
255,Private-Sector OS,Finance & Capital,Corporate Development,P3,DATA_PRODUCT,CRITICAL,Capital-Allocation OS;Contract OS;Risk OS;Compliance OS,REFRAME,15
256,Contracts OS,Legal & Compliance,Legal Governance,P1,SHARED_SERVICE,CRITICAL,Contract OS;Records OS;Evidence OS,REFRAME,8
257,Smart-Contract OS,Legal & Compliance,Legal Governance,R&D,R&D,CRITICAL,Contracts OS;Payments OS;Compliance OS,REFRAME,18
258,Escrow OS,Payments & Billing,Payments Platform,P2,INTEGRATION,CRITICAL,Payments OS;Contracts OS;Compliance OS,REFRAME,12
259,Dispute OS,Legal & Compliance,Legal Governance,P2,RETIRED_REFRAMED,CRITICAL,Conflict-Resolution OS;Arbitration OS;Evidence OS,REFRAME,10
260,Terminal OS,Developer Platform,Platform Engineering,P0,CORE,CRITICAL,Identity OS;Access-Control OS;Audit-Vigil OS;Pillars OS,REFRAME,4
261,Statistics OS,Data & Knowledge,Data Platform,P1,SHARED_SERVICE,HIGH,Data OS;Mathematics OS;Evidence OS,KEEP,10
262,Mathematics OS,Data & Knowledge,Data Platform,P2,SHARED_SERVICE,HIGH,Statistics OS;Logic-Chain OS,REFRAME,10
263,Calculus OS,Data & Knowledge,Data Platform,P3,DATA_PRODUCT,HIGH,Mathematics OS;Statistics OS,REFRAME,17
264,Game-Theory-Meta OS,AI & Intelligence,Strategy,P3,DATA_PRODUCT,HIGH,Game-Theory OS;Reasoning OS;Decision-Matrix OS,REFRAME,17
265,Solutions OS,AI & Intelligence,AI Platform,P2,SHARED_SERVICE,HIGH,Synthesis OS;Decision-Matrix OS;Reasoning OS,REFRAME,10
266,Pragmatic OS,Governance & Audit,Executive Governance,P2,POLICY,CRITICAL,Solutions OS;Ethics OS;Risk OS;Pillars OS,REFRAME,10
267,Religion OS,Data & Knowledge,Cultural Governance,P3,RETIRED_REFRAMED,HIGH,Theology OS;Knowledge OS;Ethics OS,REFRAME,17
268,Events OS,Marketing & Customer,Events Platform,P2,PRODUCT,HIGH,Community OS;Membership OS;Payments OS,REFRAME,9
269,Records OS,Data & Knowledge,Records Governance,P0,CORE,CRITICAL,Archive OS;Evidence OS;Medici-Ledger OS,KEEP,4
